date,season,away,home,market_total,actual_total,direction,n_cores,combined_mean_residual,combined_std,edge,prob,confidence,kelly_fraction,hit,profit,kelly_profit
2025-11-05,2025-26,BKN,IND,230.5,215,OVER,1,7.88,16.17,0.487,0.696,0.3921,0.05,False,-1.0,-5.0
2025-11-05,2025-26,MIN,NYK,228.5,251,OVER,2,10.41,13.1,0.795,0.7944,0.5888,0.05,True,0.9,4.5
2025-11-05,2025-26,OKC,POR,229.5,240,OVER,1,8.96,16.09,0.557,0.7204,0.4409,0.05,True,0.9,4.5
2025-11-06,2025-26,LAC,PHX,224.5,217,UNDER,1,-10.5,15.72,-0.668,0.2431,0.5137,0,True,0.9,0.0
2025-11-07,2025-26,HOU,SAS,223.5,231,OVER,1,11.56,15.97,0.724,0.7739,0.5478,0.05,True,0.9,4.5
2025-11-07,2025-26,CHA,MIA,235.5,234,UNDER,1,-14.38,18.99,-0.757,0.2163,0.5674,0,True,0.9,0.0
2025-11-10,2025-26,MIL,DAL,228.5,230,OVER,1,6.19,16.03,0.386,0.6585,0.3169,0.05,True,0.9,4.5
2025-11-11,2025-26,TOR,BKN,231.5,228,UNDER,1,-16.54,18.9,-0.875,0.1843,0.6315,0,True,0.9,0.0
2025-11-12,2025-26,ORL,NYK,227.5,231,OVER,1,14.11,19.6,0.72,0.7727,0.5455,0.05,True,0.9,4.5
2025-11-12,2025-26,PHX,DAL,227.5,237,OVER,1,10.25,9.36,1.095,0.8655,0.731,0.05,True,0.9,4.5
2025-11-12,2025-26,ATL,SAC,229.5,233,OVER,1,5.83,16.72,0.349,0.644,0.288,0.05,True,0.9,4.5
2025-11-12,2025-26,DEN,LAC,221.5,246,OVER,1,7.03,16.83,0.418,0.6704,0.3408,0.05,True,0.9,4.5
2025-11-13,2025-26,IND,PHX,232.5,231,OVER,1,10.79,16.85,0.64,0.7481,0.4962,0.05,False,-1.0,-5.0
2025-11-15,2025-26,TOR,IND,235.5,240,OVER,1,10.35,23.03,0.449,0.6822,0.3644,0.05,True,0.9,4.5
2025-11-16,2025-26,ATL,PHX,226.5,246,OVER,2,8.51,8.89,0.956,0.8356,0.6712,0.05,True,0.9,4.5
2025-11-18,2025-26,DET,ATL,226.5,232,OVER,1,9.75,12.7,0.768,0.7867,0.5734,0.05,True,0.9,4.5
2025-11-22,2025-26,LAC,CHA,227.5,247,UNDER,1,-10.42,15.49,-0.673,0.2417,0.5167,0,False,-1.0,0
2025-11-23,2025-26,ORL,BOS,223.5,267,OVER,1,8.08,21.75,0.371,0.6528,0.3057,0.05,True,0.9,4.5
2025-11-24,2025-26,DET,IND,236.5,239,OVER,1,10.35,23.03,0.449,0.6822,0.3644,0.05,True,0.9,4.5
2025-12-01,2025-26,CLE,IND,231.5,254,OVER,1,10.79,16.85,0.64,0.7481,0.4962,0.05,True,0.9,4.5
2025-12-03,2025-26,DEN,IND,238.5,255,OVER,1,10.35,23.03,0.449,0.6822,0.3644,0.05,True,0.9,4.5
2025-12-03,2025-26,CHA,NYK,235.5,223,UNDER,1,-14.38,18.99,-0.757,0.2163,0.5674,0,True,0.9,0.0
2025-12-06,2025-26,ATL,WAS,237.5,247,UNDER,1,-6.44,12.6,-0.511,0.2955,0.409,0,False,-1.0,0
2025-12-08,2025-26,SAC,IND,231.5,221,UNDER,1,-7.32,17.68,-0.414,0.331,0.3381,0,True,0.9,0.0
2025-12-12,2025-26,MIN,GSW,228.5,247,OVER,1,7.43,17.6,0.422,0.6721,0.3442,0.05,True,0.9,4.5
2025-12-13,2025-26,NYK,ORL,225.5,252,OVER,1,14.11,19.6,0.72,0.7727,0.5455,0.05,True,0.9,4.5
2025-12-20,2025-26,BOS,TOR,216.5,208,UNDER,1,-5.7,14.46,-0.394,0.3385,0.3231,0,True,0.9,0.0
2025-12-20,2025-26,CHA,DET,239.5,198,UNDER,1,-14.38,18.99,-0.757,0.2163,0.5674,0,True,0.9,0.0
2025-12-21,2025-26,HOU,SAC,229.5,249,OVER,1,9.63,16.96,0.568,0.7242,0.4484,0.05,True,0.9,4.5
2025-12-23,2025-26,TOR,MIA,227.5,203,UNDER,1,-5.71,12.24,-0.467,0.3115,0.377,0,True,0.9,0.0
2025-12-26,2025-26,BOS,IND,230.5,262,OVER,1,10.79,16.85,0.64,0.7481,0.4962,0.05,True,0.9,4.5
2025-12-28,2025-26,DET,LAC,228.5,211,UNDER,1,-10.42,15.49,-0.673,0.2417,0.5167,0,True,0.9,0.0
2025-12-29,2025-26,MIL,CHA,226.5,236,OVER,1,6.19,16.03,0.386,0.6585,0.3169,0.05,True,0.9,4.5
2025-12-30,2025-26,SAC,LAC,216.5,221,OVER,1,5.04,15.3,0.329,0.6365,0.2729,0.05,True,0.9,4.5
2025-12-31,2025-26,GSW,CHA,237.5,257,UNDER,1,-14.38,18.99,-0.757,0.2163,0.5674,0,False,-1.0,0
2026-01-03,2025-26,PHI,NYK,226.5,249,OVER,1,14.11,19.6,0.72,0.7727,0.5455,0.05,True,0.9,4.5
2026-01-03,2025-26,HOU,DAL,227.5,214,OVER,1,9.63,16.96,0.568,0.7242,0.4484,0.05,False,-1.0,-5.0
2026-01-03,2025-26,BOS,LAC,220.5,261,OVER,1,8.08,21.75,0.371,0.6528,0.3057,0.05,True,0.9,4.5
2026-01-04,2025-26,IND,ORL,231.5,262,OVER,1,10.79,16.85,0.64,0.7481,0.4962,0.05,True,0.9,4.5
2026-01-06,2025-26,CLE,IND,236.5,236,OVER,1,10.35,23.03,0.449,0.6822,0.3644,0.05,False,-1.0,-5.0
2026-01-07,2025-26,TOR,CHA,229.5,193,UNDER,1,-6.96,13.46,-0.517,0.2934,0.4133,0,True,0.9,0.0
2026-01-07,2025-26,HOU,POR,222.5,205,OVER,1,7.0,16.57,0.422,0.6722,0.3444,0.05,False,-1.0,-5.0
