matchup,status,rule_triggered,category,model_total,model_spread,independent_total,independent_spread,base_line,underdog_scaled_line,underdog,underdog_score,is_hit,details,proj_pace,score_away,score_home,win_prob,timestamp
WSH vs NY,HIT,Rule 4 — Under Execution,UNDER,169.5,16.0,169.36,15.81,76.75,83.15,WSH,73,True,Underdog WSH UNDER 83.15 | Actual: 73 | ✓ STAYS BELOW,80.8,76.78,92.59,0.3,2026-08-02T12:07:45.298963
ATL vs NY,HIT,Rule 3 — Over Execution,OVER,171.5,15.0,171.56,14.98,78.25,71.5,ATL,79,True,Underdog ATL OVER 71.50 | Actual: 79 | ✓ CLEARS,81.10000000000001,78.29,93.27,0.4,2026-08-02T12:07:45.298973
CHI vs LA,MISS,Rule 3 — Over Execution,OVER,166.5,0.0,166.55,-0.1,83.25,83.25,LA,81,False,Underdog LA OVER 83.25 | Actual: 81 | ✗ FAILS,80.3,83.32,83.22,31.0,2026-08-02T12:07:45.298983
GS vs LA,HIT,Rule 3 — Over Execution,OVER,166.0,7.0,166.24,-7.17,79.5,76.35,LA,80,True,Underdog LA OVER 76.35 | Actual: 80 | ✓ CLEARS,79.99999999999999,86.7,79.53,6.0,2026-08-02T12:07:45.298993
IND vs LV,HIT,Rule 4 — Under Execution,UNDER,179.5,7.5,179.46,7.46,86.0,89.0,IND,87,True,Underdog IND UNDER 89.00 | Actual: 87 | ✓ STAYS BELOW,82.69999999999997,86.0,93.46,5.5,2026-08-02T12:07:45.299002
IND vs SEA,HIT,Rule 3 — Over Execution,OVER,170.5,2.5,170.68,2.55,84.0,82.88,IND,83,True,Underdog IND OVER 82.88 | Actual: 83 | ✓ CLEARS,80.60000000000001,84.07,86.61,20.5,2026-08-02T12:07:45.299011
LV vs CHI,HIT,Rule 3 — Over Execution,OVER,174.5,9.5,174.73,-9.71,82.5,78.22,CHI,79,True,Underdog CHI OVER 78.22 | Actual: 79 | ✓ CLEARS,81.19999999999997,92.22,82.51,2.7,2026-08-02T12:07:45.299020
LV vs NY,MISS,Rule 3 — Over Execution,OVER,177.5,4.0,177.67,3.78,86.75,84.95,LV,69,False,Underdog LV OVER 84.95 | Actual: 69 | ✗ FAILS,82.3,86.94,90.73,15.5,2026-08-02T12:07:45.299029
POR vs CON,MISS,Rule 3 — Over Execution,OVER,162.5,12.5,162.75,12.32,75.0,69.38,POR,66,False,Underdog POR OVER 69.38 | Actual: 66 | ✗ FAILS,80.60000000000001,75.21,87.53,1.1,2026-08-02T12:07:45.299038
POR vs DAL,HIT,Rule 4 — Under Execution,UNDER,176.0,5.0,175.76,4.96,85.5,87.5,POR,79,True,Underdog POR UNDER 87.50 | Actual: 79 | ✓ STAYS BELOW,84.19999999999997,85.4,90.36,11.5,2026-08-02T12:07:45.299047
ATL vs NY,HIT,Rule 3 — Over Execution,OVER,171.5,15.0,171.56,14.98,78.25,71.5,ATL,84,True,Underdog ATL OVER 71.50 | Actual: 84 | ✓ CLEARS,81.10000000000001,78.29,93.27,0.4,2026-08-02T12:07:45.299055
CON vs SEA,HIT,Rule 4 — Under Execution,UNDER,157.5,4.5,157.32,4.61,76.5,78.3,CON,69,True,Underdog CON UNDER 78.30 | Actual: 69 | ✓ STAYS BELOW,77.8,76.36,80.96,12.6,2026-08-02T12:07:45.299065
DAL vs WSH,HIT,Rule 4 — Under Execution,UNDER,170.5,5.0,170.25,5.17,82.75,84.75,DAL,81,True,Underdog DAL UNDER 84.75 | Actual: 81 | ✓ STAYS BELOW,81.99999999999999,82.54,87.71,10.8,2026-08-02T12:07:45.299074
IND vs GS,HIT,Rule 3 — Over Execution,OVER,170.5,2.5,170.68,2.55,84.0,82.88,IND,83,True,Underdog IND OVER 82.88 | Actual: 83 | ✓ CLEARS,80.60000000000001,84.07,86.61,20.5,2026-08-02T12:07:45.299088
MIN vs POR,MISS,Rule 4 — Under Execution,UNDER,170.0,15.0,169.79,-15.07,77.5,83.5,POR,91,False,Underdog POR UNDER 83.50 | Actual: 91 | ✗ EXCEEDS,81.3,92.43,77.36,0.4,2026-08-02T12:07:45.299098
MIN vs TOR,HIT,Rule 4 — Under Execution,UNDER,164.0,9.5,163.87,-9.63,77.25,81.05,TOR,81,True,Underdog TOR UNDER 81.05 | Actual: 81 | ✓ STAYS BELOW,79.10000000000001,86.75,77.12,2.7,2026-08-02T12:07:45.299108
POR vs NY,MISS,Rule 4 — Under Execution,UNDER,175.5,21.5,175.41,21.45,77.0,85.6,POR,88,False,Underdog POR UNDER 85.60 | Actual: 88 | ✗ EXCEEDS,82.99999999999999,76.98,98.43,0.0,2026-08-02T12:07:45.299116
WSH vs CHI,MISS,Rule 3 — Over Execution,OVER,165.5,3.0,165.6,2.76,81.25,79.9,WSH,70,False,Underdog WSH OVER 79.90 | Actual: 70 | ✗ FAILS,79.69999999999997,81.42,84.18,19.6,2026-08-02T12:07:45.299126
CON vs POR,MISS,Rule 3 — Over Execution,OVER,162.5,7.5,162.75,-7.32,77.5,74.12,POR,64,False,Underdog POR OVER 74.12 | Actual: 64 | ✗ FAILS,80.60000000000001,85.03,77.71,5.8,2026-08-02T12:07:45.299135
DAL vs SEA,HIT,Rule 3 — Over Execution,OVER,170.5,12.5,170.75,12.71,79.0,73.38,DAL,88,True,Underdog DAL OVER 73.38 | Actual: 88 | ✓ CLEARS,81.39999999999999,79.02,91.73,1.0,2026-08-02T12:07:45.299146
GS vs CON,SYSTEM SKIP,Rule 1 — Upset Clause,,157.5,0.5,,,,,GS,73,,Underdog Win Prob (29.8%) exceeds the 15.0% threshold,,,,,2026-08-02T12:07:45.299152
LA vs ATL,MISS,Rule 3 — Over Execution,OVER,168.0,6.0,168.04,5.85,81.0,78.3,LA,76,False,Underdog LA OVER 78.30 | Actual: 76 | ✗ FAILS,80.90000000000002,81.09,86.95,8.9,2026-08-02T12:07:45.299161
LV vs PHX,HIT,Rule 4 — Under Execution,UNDER,179.0,6.5,178.94,-6.25,86.25,88.85,PHX,85,True,Underdog PHX UNDER 88.85 | Actual: 85 | ✓ STAYS BELOW,83.19999999999997,92.59,86.34,8.0,2026-08-02T12:07:45.299171
MIN vs LV,HIT,Rule 3 — Over Execution,OVER,172.0,2.0,172.02,2.04,85.0,84.1,MIN,93,True,Underdog MIN OVER 84.10 | Actual: 93 | ✓ CLEARS,80.60000000000001,84.99,87.03,22.6,2026-08-02T12:07:45.299180
MIN vs WSH,MISS,Rule 4 — Under Execution,UNDER,164.0,9.5,163.87,-9.63,77.25,81.05,WSH,86,False,Underdog WSH UNDER 81.05 | Actual: 86 | ✗ EXCEEDS,79.10000000000001,86.75,77.12,2.7,2026-08-02T12:07:45.299188
